idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,global_chamfer_l2,global_chamfer_l1,global_hausdorff,global_hausdorff95,global_normal_consistency,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency
22,0.006363295018672943,0.03664631024003029,0.2751422465420301,0.15015125274658203,0.8883556127548218,0.004978235345333815,0.030553195625543594,0.2751422465420301,0.12608405947685242,0.8729947209358215,0.003440320026129484,0.02416181191802025,0.27462422478626763,0.10669699311256409,0.8682534694671631
23,0.004873230587691069,0.022451460361480713,0.2813132400409734,0.19177934527397156,0.9403243660926819,0.004058807156980038,0.02054249495267868,0.2813036125794625,0.18264411389827728,0.9342647194862366,0.003592828754335642,0.018309248611330986,0.27993021029285425,0.17034205794334412,0.9413197040557861
24,0.003927373792976141,0.023786794394254684,0.26173901835288627,0.13428574800491333,0.943983793258667,0.0036069629713892937,0.021805720403790474,0.26173901835288627,0.11171882599592209,0.9438638687133789,0.0035253437235951424,0.021560747176408768,0.26173901835288627,0.12369490414857864,0.9530011415481567
25,0.005130684934556484,0.028835920616984367,0.33227565969979,0.1493605077266693,0.9311724305152893,0.004166310653090477,0.024771079421043396,0.33312502948696443,0.09119349718093872,0.930187463760376,0.0026040778029710054,0.019888754934072495,0.31567900875410465,0.053542397916316986,0.9486761689186096
26,0.0077062989585101604,0.02583373710513115,0.43116134685996627,0.21387815475463867,0.9648973345756531,0.006212930660694838,0.020665820688009262,0.4293255755590407,0.19433575868606567,0.9728847146034241,0.0029241612646728754,0.01403808407485485,0.4145069076632031,0.09066113084554672,0.9778676629066467
27,0.0039778174832463264,0.02603844553232193,0.2521680905508226,0.15360760688781738,0.9434823989868164,0.0034654538612812757,0.022915445268154144,0.25265193107466416,0.1276320517063141,0.937102735042572,0.003115651663392782,0.019387580454349518,0.2530552762160055,0.13622312247753143,0.9564087390899658
28,0.0036447469610720873,0.02380211092531681,0.25682920729953385,0.15550510585308075,0.9588771462440491,0.00330457859672606,0.022981319576501846,0.25682920729953385,0.13657502830028534,0.9484456777572632,0.0015435947570949793,0.013990646228194237,0.2562358939544935,0.06676697731018066,0.9775686264038086
29,0.0060851373709738255,0.031289707869291306,0.31579285492258025,0.18623720109462738,0.9095861911773682,0.0054833246394991875,0.02949480712413788,0.31452307308159516,0.144566610455513,0.8983861207962036,0.005351938307285309,0.027934592217206955,0.31752926308650636,0.1592988520860672,0.9117895364761353
30,0.010217428207397461,0.03172193467617035,0.48293542747600837,0.25387802720069885,0.897040605545044,0.008602079935371876,0.02785404957830906,0.48293542747600837,0.232098788022995,0.9037644267082214,0.004612975288182497,0.020571500062942505,0.4804003597060452,0.1227649450302124,0.9150675535202026
31,0.008231470361351967,0.026439055800437927,0.44962332378262715,0.22585564851760864,0.944540798664093,0.006392842158675194,0.02200518175959587,0.44655924825905924,0.1388971209526062,0.9439006447792053,0.003966604359447956,0.019906654953956604,0.43982633214039896,0.03901893272995949,0.9465054273605347
